Robox Software Translations																													
	English	Simplified Chinese	Traditional Chinese	Italian	French	French (fprint)	Korean	German (Andreas)	German (Erik)	Spanish	Portuguese	Portuguese (Brazil)	Swedish	Danish	Polish	Dutch	Russian	Japanese	Thai	Greek	Turkish	Arabic	Persian	Hindi	German (CEI)	Punjabi	Czech Language	Finnish	Japanese
error.ERROR_CHUNK_SEQUENCE	Firmware: Chunk sequence error				Micrologiciel: erreur de équence chunk																								
error.ERROR_CHUNK_SEQUENCE.message	*T01 [OK] 																												
error.ERROR_FILE_TOO_LARGE	Firmware: File too large error				Micrologiciel: errereur fichié trop volumineux																								
error.ERROR_FILE_TOO_LARGE.message	*T01 [OK] 																												
error.ERROR_GCODE_LINE_TOO_LONG	Firmware: GCode line too long error				Micrologiciel: ereur ligne du Gcode trop longue																								
error.ERROR_GCODE_LINE_TOO_LONG.message	*T01 [OK] 																												
error.ERROR_USB_RX	Firmware: USB Rx error				Micrologiciel: erreur USB Rx 																								
error.ERROR_USB_RX.message	*T01 [OK]																												
error.ERROR_USB_TX	Firmware: USB Tx error				Micrologiciel: erreur USB Tx																								
error.ERROR_USB_TX.message	*T01 [OK] 																												
error.ERROR_BAD_COMMAND	Firmware: Bad command error				Micrologiciel: erreur de commande incorrecte																								
error.ERROR_BAD_COMMAND.message	*T01 [OK] 																												
error.ERROR_HEAD_EEPROM	Firmware: Head EEPROM error				Micrologiciel: erreur de la tête EEPROM																								
error.ERROR_HEAD_EEPROM.message	Eject the filament then disconnect your Robox from USB and AC power. Remove and reseat the printer head.																												
error.ERROR_BAD_FIRMWARE_FILE	Firmware: Bad firmware file				Micrologiciel: fichier micrologiciel erronée																								
error.ERROR_BAD_FIRMWARE_FILE.message	*T02																												
error.ERROR_FLASH_CHECKSUM	Firmware: Checksum error				Micrologiciel: erreur de la somme de Contrôle (checksum)																								
error.ERROR_FLASH_CHECKSUM.message	*T02																												
error.ERROR_GCODE_BUFFER_OVERRUN	Firmware: GCode buffer overrun error				Micrologiciel: erreur Gcode dépassement de mémoire tampon 																								
error.ERROR_GCODE_BUFFER_OVERRUN.message	*T01																												
error.ERROR_FILE_READ_CLOBBERED	Firmware: File read clobbered error				Micrologiciel: erreur mise à mal de la lecture fichier																								
error.ERROR_FILE_READ_CLOBBERED.message	*T03																												
error.ERROR_MAX_GANTRY_ADJUSTMENT	Firmware: Max gantry adjustment error				Micrologiciel: erreur maximale de réglage du portique																								
error.ERROR_MAX_GANTRY_ADJUSTMENT.message	Visually inspect the gantry. If it is significantly off from horizontal then manually turn right threaded bar in order to level the gantry. Rerun the level gantry macro.																												
error.ERROR_REEL0_EEPROM	Firmware: Reel 1 EEPROM error				Micrologiciel: erreur de la bobine 0 EEPROM																								
error.ERROR_REEL0_EEPROM.message	Try reseating the SmartReel in position 1 by taking it off and on again.																												
error.ERROR_E_FILAMENT_SLIP	Extruder 1 Filament slip detected				Extrudeur 0 glissement du filament détecté																								
error.ERROR_E_FILAMENT_SLIP.message	*T04 [Continue, Abort]																												
error.ERROR_D_FILAMENT_SLIP	Extruder 2 Filament slip detected				Extrudeur 1  glissement du filament détecté																								
error.ERROR_D_FILAMENT_SLIP.message	*T04																												
error.ERROR_NOZZLE_FLUSH_NEEDED	Purge required				Purge requise																								
error.ERROR_NOZZLE_FLUSH_NEEDED.message	Robox has detected that the material you are about to print with is different from the material remaining in the head. We recommend a purge to flush out the previous material.																												
error.ERROR_Z_TOP_SWITCH	Z protection switch activated				Interrupteur de protection Z activé																								
error.ERROR_Z_TOP_SWITCH.message	Robox has unexpectedly seen that it is close to the top of its travel. If you are happy to continue then this error can be cleared or you can abort the print.																												
error.ERROR_B_STUCK	Nozzle control error				Erreur de commande du jet																								
error.ERROR_B_STUCK.message	Robox has been unable to perform the nozzle selection command. Eject the filament then disconnect your Robox from USB and AC power. Remove and reseat the printer head.																												
error.ERROR_REEL1_EEPROM	Firmware: Reel 2 EEPROM error				Micrologiciel: erreur bobine 1 EEPROM																								
error.ERROR_REEL1_EEPROM.message	Try reseating the SmartReel in position 2 by taking it off and on again.																												
error.ERROR_HEAD_POWER_EEPROM	Head power off - EEPROM error				Tête hors tension - erreur EEPROM																								
error.ERROR_HEAD_POWER_EEPROM.message	*T05																												
error.ERROR_HEAD_POWER_OVERTEMP	Head power off - overtemperature				Tête hors tension - surchauffe																								
error.ERROR_HEAD_POWER_OVERTEMP.message	The temperature of the nozzle has gone beyond the intended temperature. The power to the head has been switched off to protect the hardware. *T05																												
error.ERROR_UNKNOWN	Unexpected error.				ERREUR INCONNUE																								
error.ERROR_UNKNOWN.message	An unexpected error has occured. *T01																												
errors.filamentSlipE	Extruder 1 slip	推料器1 打滑	推料器1跳步		Glissement de l’extruder 1		압출기 1 	Extruder 1 rutscht		Relleno			Extruder 1 glid				Скольжение 1 экструдера								Extruder 1 rutscht		Prokluz kolečka pohonu 1	Suulakepuristin 1 liuku	Extruder1 スリップ
errors.filamentSlipD	Extruder 2 slip	推料器2 打滑	推料器2跳步		Glissement de l’extruder 2		압출기 2	Extruder 2 rutscht		Relleno cada			Extruder 2 glid				Скольжение 2 экструдера								Extruder 2 rutscht		Prokluz kolečka pohonu 2	Suulakepuristin 2 liuku	Extruder2 スリップ
extrusion.autoUnretract	Automatic unretract	自动停止倒卷	自動不回捲	Non ritiro automatico	Contre-retrait automatique		자동 언리트랙트	Automatik nicht zurückgenommen	Automatischer Auszug	Altura de capa	Descarga automática	Descarga automática	Automatisk anti-indragning			Automatisch ontkoppelen	Автоматическое удлинение	自動的に収納しない							Automatik nicht zurückgenommen		Automatický pohyb	Automaattinen sisäänvedon esto	自動的に収納しない
extrusion.brimWidth	Brim width	边的宽度	外邊框寬度	Ampiezza brim	Largeur de bord		브림 너비	Randbreite	Randbreite	Injector	Largura do rebordo	Largura da borda	Brättets bredd			Rand breedte	Ширина краев	ふちの幅							Randbreite		Šířka lemu	Lieren leveys	ふちの幅
extrusion.dwellAwayFromPart	Automatic dwell		自動停頓		Pause automatique		오토메이커 드웰기능	Automatisches Verweilen		Perímetro			Automatisk fördröjning				Автоматическая остановка	自動保圧							Automatisches Verweilen		Automatická prodleva	Automaattinen viive	自動保圧
extrusion.dwellTriggerTime	Dwell if layer time below		停頓生成於打印層打印時間低於		Pause si le temps de couche est inferieur		만약 레이어가 아래와 같으면 드웰기능 작동	Verweilen, wenn Schichtzeit unter		Perímetro de boquilla			Fördröjning om lagertid under				Остановка, если время слоя ниже	層時間が　　　以下ならば保圧する							Verweilen, wenn Schichtzeit unter		Prodleva, pokud je doba tisku vrstvy kratší než	Viive jos kerrosaika alle	層時間が　　　以下ならば保圧する
extrusion.extrusionMultiplier	Ext. multiplier	推料系数	推進物料乘數		Multiplicateur exterieur		ext.제곱승수	Ext. Multiplikator		Distancia de retracción			Extrusionens multiplikatoreffekt				Коэффициент экструзии	押出成形工具							Ext. Multiplikator		Multiplikátor	Suulakepuristuksen kerrannaisvaikutus	押出成形工具
extrusion.extrusionWidth	Extrusion Width	推料阔度	推料寬度		Largeur d’extrusion		압출 넓이	Extrusionsbreite		Velocidad de retracción/contra-retracción			Extrusionens bredd				Ширина экструзии								Extrusionsbreite		Šířka vytlačování	Suulakepuristuksen leveys	吐出幅
extrusion.fillDensity	Fill density	填充密度	填充密度	Densità riempimento	Densité de remplissage		채움 밀도	Fülldichte	Fülldichte	Rellenado sólido	Densidade de enchimento	Densidade de enchimento	Fyllningens densitet			Vul dichtheid	Заполнить плотность	密度の補充							Fülldichte		Hustota výplně	Täytön tiheys	密度の補充
extrusion.fillNozzle	Fill nozzle	填充喷嘴	裝填噴嘴	Riempi ugello	Buse de remplissage		채움 노즐	Düse füllen	Fülldüse	Capas sólidas en la base	Bocal de enchimento	Bico de enchimento	Fyllningens munstycke			Vul mondstuk	Заполнить сопло	ノズルの補充							Düse füllen		Vyplňovací tryska	Täytön suutin	ノズルの補充
extrusion.fillPattern	Fill pattern	选择填充纹路	填充型式	Motivo riempimento	Motif de remplissage		채움 패턴	Füllmuster	Füllmuster	Capas sólidas superiores e inferiores	Padrão de enchimento	Padrão de enchimento	Fyllningens mönster			Vul patroon	Заполнить шаблон	パターンの補充							Füllmuster		Struktura výplně	Täytön kuvio	パターンの補充
extrusion.firstLayer	First layer		第一層		Motif de remplissage		첫 레이어	Erste Schicht		Impresión espiral			Första lagret				Первый слой								Erste Schicht		První vrstva	Ensimmäinen kerros	一層目
extrusion.infill	Infill	填充	填充		Remplissage		공간채우기	Ausfüllen		Interface de Soporte			Fyll				Заполнить								Ausfüllen		Výplň	Täytä	密度
extrusion.infillEveryN	Infill every	填充后边框打印	填充間層	Infill solido ogni	Remplir toutes les		매 레이어 채우기	Auffüllen jede	Fülle jede	Soporte	Enchimento a cada	Enchimento a cada	Fyll varje			Opvulling elke	Заполнить каждый	全ての充填							Auffüllen jede		Výplň každých	Täytä kaikki	全ての充填
extrusion.layerHeight	Layer height	打印层高度	打印層高度	Altezza strato	Hauteur des couches		레이어 높이	Schichthöhe	Höhe der Ebene	Relleno sólido superior	Altura da camada	Altura da camada	Lagerhöjd			Laag hoogte	Высота слоя	層の高さ							Schichthöhe		Výška vrstvy	Kerroksen korkeus	層の高さ
extrusion.nozzle	Nozzle	喷嘴	噴嘴		Jet		노즐	Düse		Distancia de contra-retracción			Munstycke				Сопло								Düse		Tryska	Suutin	ノズル
extrusion.perimeter	Perimeter	边框	外圍邊界		Périmètre		외벽	Umfang		Pantalla			Omkrets				Периметр								Umfang		Perimetr	Ympärysmitta	
extrusion.perimeter	Perimeter	边框喷嘴	外圍邊界	Perimetro ugello	Buse de périmètre		외벽	Umfang	Umrandungsdüse	Visibilidad de características	Perímetro do bocal	Perimetro do bico	Omkrets			Omtrek mondstuk	Периметр	ノズル回り							Umfang		Perimetr	Ympärysmitta	ノズル回り
